Question,Options,Correct_Letter,Correct_Answer
Тағам химиясының негізгі зерттеу объектісі не?,A) Ауыл шаруашылығы өнімдері | B) Тағам өнімдерінің химиялық құрамы мен қасиеттері | C) Органикалық қосылыстар | D) Биологиялық жүйелер | Е) дұрыс жауап жоқ,В,Тағам өнімдерінің химиялық құрамы мен қасиеттері
Ақуыздардың мономері не болып табылады?,A) Глюкоза | B) Май қышқылы | C) Аминқышқылы | D) Нуклеотид | Е) дұрыс жауап жоқ,С,Аминқышқылы
Глюкоза қандай классқа жатады?,A) Дисахарид | B) Полисахарид | C) Моносахарид | D) Олигосахарид | Е) дұрыс жауап жоқ,С,Моносахарид
Витамин C-ның негізгі функциясы:,A) Сүйек түзу | B) Қан ұю | C) Тотықсыздандыру процестері | D) Энергия беру | Е) дұрыс жауап жоқ,С,Тотықсыздандыру процестері
Ферменттердің негізгі рөлі:,A) Құрылым түзу | B) Катализаторлық қызмет | C) Энергия өндіру | D) Тасымалдау | Е) дұрыс жауап жоқ,В,Катализаторлық қызмет
Ағзадағы судың негізгі қызметі:,A) Құрылымдық материал | B) Энергия көзі | C) Ерігіш орта | D) Гормон көзі | Е) дұрыс жауап жоқ,С,Ерігіш орта
Темір (Fe) қандай элемент түріне жатады?,Fe) қандай элемент түріне жатады? | A) Макроэлемент | B) Микроэлемент | C) Органоген | D) Алкалоид | Е) дұрыс жауап жоқ,В,Микроэлемент
Крахмал қандай көмірсуларға жатады?,A) Моносахарид | B) Дисахарид | C) Полисахарид | D) Олигосахарид | Е) дұрыс жауап жоқ,С,Полисахарид
Тағамдағы ақуыздың жетіспеушілігі қандай ауруға әкелуі мүмкін?,A) Рахит | B) Цинга | C) Квашиоркор | D) Берибери | Е) дұрыс жауап жоқ,С,Квашиоркор
Тағам өнімдерінің органолептикалық қасиеттері дегеніміз:,"A) Химиялық құрамы | B) Физикалық қасиеттері | C) Дәм, иіс, түс, құрылым | D) Термиялық өңдеу әдісі | Е) дұрыс жауап жоқ",С,"Дәм, иіс, түс, құрылым"
Тағам химиясы қандай ғылымдарға негізделеді?,"A) Геология және ботаника | B) Химия, биология және тамақтану ғылымдары | C) Педагогика мен медицина | D) Физика мен математика | Е) дұрыс жауап жоқ",В,"Химия, биология және тамақтану ғылымдары"
Тағам өнімдерінің сапасын анықтауда қандай әдіс қолданылмайды?,A) Химиялық талдау | B) Биохимиялық зерттеу | C) Органолептикалық әдіс | D) Электр тогын қолдану | Е) дұрыс жауап жоқ,D,Электр тогын қолдану
Тағамның энергетикалық құндылығы көбіне немен анықталады?,A) Витамин мөлшері | B) Аминқышқылдар саны | C) Калория мөлшері | D) Минералдар | Е) дұрыс жауап жоқ,C,Калория мөлшері
Тағам өнімдерінің бұзылуына не әсер етеді?,A) Жоғары температура | B) Микроорганизмдер | C) Арнайы орау | D) Ферменттердің тежелуі | Е) дұрыс жауап жоқ,В,Микроорганизмдер
Термиялық өңдеу нәтижесінде не болады?,A) Ақуыз синтезі | B) Ферменттер жойылады | C) Тағам тоңазытылады | D) Судың булануы тежеледі | Е) дұрыс жауап жоқ,В,Ферменттер жойылады
Тағам құрамындағы химиялық өзгерістер көбіне неден болады?,A) Түсі өзгергеннен | B) Температура мен оттектің әсерінен | C) Дұрыс сақталғаннан | D) Буып-түю сапасынан | Е) дұрыс жауап жоқ,В,Температура мен оттектің әсерінен
Тағам өнімдерінің ластануының негізгі себептері:,A) Гигиеналық нормалар | B) Биологиялық қоспалар | C) Қоршаған орта мен сақтау жағдайы | D) Құрғақтық пен қысым | Е) дұрыс жауап жоқ,C,Қоршаған орта мен сақтау жағдайы
Тағам химиясында “Cтандарт” дегеніміз не?,A) Өндіріс құжаты | B) Тағам рецепті | C) Сапа мен қауіпсіздікке қойылатын талап | D) Экономикалық көрсеткіш | Е) дұрыс жауап жоқ,C,Сапа мен қауіпсіздікке қойылатын талап
Тағам қауіпсіздігі мен сапасына кім жауап береді?,A) Тұтынушы | B) Мемлекеттік бақылау органдары | C) Жабдықтаушы | D) Маркетологтар | Е) дұрыс жауап жоқ,В,Мемлекеттік бақылау органдары
Ақуыз молекуласындағы байланыс түрі:,A) Гликозидтік | B) Пептидтік | C) Эфирлік | D) Иондық | Е) дұрыс жауап жоқ,В,Пептидтік
Толыққанды ақуыз дегеніміз не?,A) Тек жануарлардан алынатын | B) Барлық алмастырылмайтын аминқышқылдары бар | C) Ең жоғары калориялы | D) Тек өсімдік текті | Е) дұрыс жауап жоқ,В,Барлық алмастырылмайтын аминқышқылдары бар
Ақуыздар ағзада қандай қызмет атқармайды?,A) Құрылымдық | B) Катализаторлық | C) Энергия беру | D) Тасымалдау (тек жартылай) | Е) дұрыс жауап жоқ,D,Тасымалдау (тек жартылай)
Ақуыздар ыдырағанда не түзіледі?,A) Глюкоза | B) Аминқышқылдар | C) Май қышқылдары | D) Суда еритін витаминдер | Е) дұрыс жауап жоқ,В,Аминқышқылдар
Қандай өнімде ақуыз көп?,A) Жеміс | B) Сүт | C) Картоп | D) Қант | Е) дұрыс жауап жоқ,В,Сүт
Жұмыртқа ақуызы қалай аталады?,A) Гемоглобин | B) Миоцин | C) Альбумин | D) Глютен | Е) дұрыс жауап жоқ,C,Альбумин
Ақуыздар қандай құрылым деңгейіне ие?,"A) Тек біріншілік | B) Біріншілік, екіншілік, үшіншілік, төртіншілік | C) Тек төртіншілік | D) Ферменттік | Е) дұрыс жауап жоқ",В,"Біріншілік, екіншілік, үшіншілік, төртіншілік"
Денатурация дегеніміз:,A) Ақуыздардың синтезі | B) Ақуыз құрылымының бұзылуы | C) Аминқышқыл түзілуі | D) Майға айналуы | Е) дұрыс жауап жоқ,В,Ақуыз құрылымының бұзылуы
Ақуыздардың құрылымын қалпына келтіру процесі:,A) Денатурация | B) Ренатурация | C) Гидролиз | D) Декарбоксилдеу | Е) дұрыс жауап жоқ,В,Ренатурация
Коллаген қайда кездеседі?,A) Қанда | B) Сүйек пен дәнекер тіндерде | C) Асқазан сөлндеі | D) Бауырда | Е) дұрыс жауап жоқ,В,Сүйек пен дәнекер тіндерде
Гемоглобиннің құрамында қандай металл бар?,A) Мыс | B) Мырыш | C) Темір | D) Калий | Е) дұрыс жауап жоқ,C,Темір
Қандай аминқышқыл организмде синтезделмейді?,A) Глицин | B) Лейцин | C) Серин | D) Аспарагин | Е) дұрыс жауап жоқ,В,Лейцин
"Қандай тағам өсімдік текті, бірақ толыққанды ақуыз көзіне жатады?",A) Соя | B) Бидай | C) Жүгері | D) Күріш | Е) дұрыс жауап жоқ,A,Соя
Ақуыз мөлшерін анықтау әдісі:,A) Бенедикт сынамасы | B) Бюрре реакциясы | C) Луголь ерітіндісі | D) Сутектік шкала | Е) дұрыс жауап жоқ,В,Бюрре реакциясы
Ақуыз тапшылығы неге әкеледі?,A) Иммунитет төмендейді | B) Салмақ артуы | C) Қан қысымы жоғарылайды | D) Сусыздану | Е) дұрыс жауап жоқ,A,Иммунитет төмендейді
Көмірсулардың негізгі қызметі:,A) Құрылымдық | B) Энергия көзі | C) Гормон түзу | D) Тасымалдау | Е) дұрыс жауап жоқ,В,Энергия көзі
